# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.65629, -12.61450, 0.55640, 0.59836
-2.56305, -12.57787, 0.55327, 0.59472
-2.46943, -12.54239, 0.55097, 0.59128
-2.37532, -12.50842, 0.54952, 0.59188
-2.28062, -12.47631, 0.55012, 0.59984
-2.18522, -12.44639, 0.54962, 0.61166
-2.08916, -12.41858, 0.54933, 0.62428
-1.99259, -12.39240, 0.54926, 0.63223
-1.89567, -12.36736, 0.54849, 0.63204
-1.79856, -12.34298, 0.55035, 0.62325
-1.70141, -12.31875, 0.55728, 0.60853
-1.60438, -12.29420, 0.57112, 0.59194
-1.50764, -12.26883, 0.59063, 0.57746
-1.41133, -12.24215, 0.60144, 0.56859
-1.31562, -12.21368, 0.61343, 0.56580
-1.22066, -12.18293, 0.61517, 0.56853
-1.12652, -12.14973, 0.60916, 0.57337
-1.03311, -12.11434, 0.59911, 0.57870
-0.94038, -12.07699, 0.59282, 0.58185
-0.84825, -12.03795, 0.59109, 0.58465
-0.75664, -11.99747, 0.59518, 0.58737
-0.66549, -11.95582, 0.60262, 0.59089
-0.57472, -11.91325, 0.60908, 0.59656
-0.48426, -11.87001, 0.61111, 0.60434
-0.39403, -11.82637, 0.60952, 0.61306
-0.30399, -11.78251, 0.60707, 0.62324
-0.21409, -11.73848, 0.60284, 0.62813
-0.12433, -11.69430, 0.60092, 0.63096
-0.03466, -11.65001, 0.60182, 0.63244
0.05493, -11.60563, 0.60482, 0.63249
0.14446, -11.56121, 0.60912, 0.63249
0.23397, -11.51677, 0.61250, 0.63234
0.32348, -11.47234, 0.61355, 0.63215
0.41300, -11.42796, 0.61344, 0.63216
0.50257, -11.38365, 0.61367, 0.63260
0.59221, -11.33945, 0.61475, 0.63354
0.68191, -11.29533, 0.61751, 0.63483
0.77165, -11.25127, 0.62300, 0.63639
0.86143, -11.20725, 0.62820, 0.63691
0.95122, -11.16323, 0.63289, 0.63675
1.04100, -11.11919, 0.63792, 0.63588
1.13078, -11.07511, 0.64172, 0.63398
1.22052, -11.03095, 0.64454, 0.63315
1.31022, -10.98669, 0.64554, 0.63344
1.39986, -10.94231, 0.64676, 0.63533
1.48942, -10.89778, 0.64770, 0.63861
1.57889, -10.85307, 0.64858, 0.64246
1.66826, -10.80815, 0.64957, 0.64621
1.75752, -10.76302, 0.65084, 0.64920
1.84666, -10.71767, 0.65256, 0.65077
1.93569, -10.67210, 0.65502, 0.65028
2.02460, -10.62630, 0.65657, 0.64766
2.11339, -10.58026, 0.65978, 0.64104
2.20205, -10.53399, 0.66316, 0.63518
2.29058, -10.48746, 0.66612, 0.62916
2.37897, -10.44069, 0.66802, 0.62357
2.46723, -10.39366, 0.66824, 0.61911
2.55535, -10.34637, 0.66724, 0.61600
2.64333, -10.29881, 0.66633, 0.61202
2.73115, -10.25098, 0.66638, 0.60966
2.81883, -10.20286, 0.66578, 0.60838
2.90636, -10.15447, 0.66593, 0.60697
2.99373, -10.10579, 0.66666, 0.60734
3.08093, -10.05681, 0.66978, 0.60791
3.16798, -10.00753, 0.67345, 0.60827
3.25485, -9.95794, 0.67582, 0.60757
3.34156, -9.90805, 0.67378, 0.60387
3.42809, -9.85783, 0.66734, 0.60030
3.51445, -9.80730, 0.66170, 0.59387
3.60062, -9.75644, 0.65914, 0.58820
3.68661, -9.70524, 0.65991, 0.58453
3.77240, -9.65369, 0.66586, 0.58441
3.85789, -9.60165, 0.67807, 0.58600
3.94299, -9.54901, 0.69416, 0.58743
4.02760, -9.49562, 0.71179, 0.58700
4.11162, -9.44136, 0.72890, 0.58303
4.19495, -9.38610, 0.74330, 0.57499
4.27749, -9.32969, 0.75200, 0.56473
