# x_m, y_m, w_tr_right_m, w_tr_left_m
2.12512, -8.95749, 0.54003, 0.49936
2.15292, -8.85965, 0.54654, 0.47429
2.17317, -8.75939, 0.55866, 0.45001
2.18834, -8.65917, 0.57808, 0.44705
2.19898, -8.55951, 0.58903, 0.45275
2.20482, -8.46010, 0.59709, 0.45904
2.20560, -8.36066, 0.59782, 0.47777
2.20072, -8.26108, 0.59672, 0.50096
2.18890, -8.16169, 0.59884, 0.52248
2.16879, -8.06284, 0.60468, 0.55112
2.13902, -7.96518, 0.61063, 0.57252
2.09807, -7.87178, 0.61218, 0.58731
2.04434, -7.78693, 0.61423, 0.59173
1.97628, -7.71486, 0.61079, 0.59305
1.89450, -7.65757, 0.55589, 0.59069
1.80303, -7.61355, 0.50585, 0.57947
1.70619, -7.58096, 0.48619, 0.56708
1.60774, -7.55798, 0.48478, 0.55269
1.50865, -7.54292, 0.49349, 0.54022
1.40906, -7.53413, 0.51246, 0.53272
1.30909, -7.52994, 0.52666, 0.52753
1.20886, -7.52872, 0.53850, 0.52370
1.10852, -7.52879, 0.54493, 0.51873
1.00826, -7.52837, 0.54801, 0.51586
0.90827, -7.52566, 0.54851, 0.51815
0.80878, -7.51883, 0.54884, 0.52638
0.70999, -7.50623, 0.54843, 0.53915
0.61207, -7.48747, 0.54790, 0.55785
0.51518, -7.46279, 0.54797, 0.58305
0.41945, -7.43244, 0.54819, 0.62065
0.32506, -7.39664, 0.54833, 0.66267
0.23214, -7.35564, 0.54773, 0.71636
0.14089, -7.30964, 0.54538, 0.77797
0.05227, -7.25848, 0.54128, 0.85069
-0.03217, -7.20164, 0.53610, 0.95341
-0.11085, -7.13864, 0.53067, 1.07928
-0.18223, -7.06896, 0.52391, 1.08502
-0.24472, -6.99209, 0.51420, 1.04820
-0.29740, -6.90800, 0.50251, 0.97725
-0.34146, -6.81809, 0.48071, 0.90846
-0.37855, -6.72411, 0.46845, 0.86256
-0.41028, -6.62779, 0.45174, 0.82482
-0.43811, -6.53062, 0.44234, 0.79567
-0.46253, -6.43297, 0.43338, 0.76408
-0.48379, -6.33489, 0.42691, 0.74516
-0.50215, -6.23642, 0.42283, 0.72067
-0.51785, -6.13763, 0.41786, 0.69803
-0.53114, -6.03854, 0.41603, 0.68379
-0.54225, -5.93921, 0.41506, 0.66577
-0.55145, -5.83969, 0.41618, 0.65398
-0.55897, -5.74002, 0.41935, 0.64006
-0.56505, -5.64025, 0.42593, 0.63122
-0.56992, -5.54040, 0.43014, 0.62313
-0.57379, -5.44048, 0.43485, 0.61375
-0.57685, -5.34052, 0.43505, 0.60729
-0.57932, -5.24052, 0.43075, 0.60153
-0.58141, -5.14049, 0.42600, 0.59632
-0.58332, -5.04046, 0.41675, 0.59150
-0.58521, -4.94044, 0.40708, 0.58696
-0.58707, -4.84042, 0.39779, 0.58124
-0.58885, -4.74040, 0.38961, 0.57752
-0.59050, -4.64040, 0.38367, 0.57424
