s,left,right
1.02,1.0700054371813736,1.204609000052513
1.03,1.0694291004636318,1.2045438070246839
1.04,1.0688998545253081,1.204478031728996
1.05,1.0684235073573505,1.2044116666372648
1.06,1.0680058669507082,1.204344704221307
1.07,1.0676527412963295,1.2042771369529375
1.08,1.0673699156172327,1.2042089573035852
1.09,1.0671582821808954,1.204140157661403
1.1,1.0670077837567666,1.2040707302281886
1.11,1.0669068764992589,1.204000667180438
1.12,1.0668440165627833,1.2039299606946483
1.13,1.0668076601017504,1.2038586029473155
1.14,1.066786263270573,1.2037865861149366
1.15,1.066768282223661,1.203713902374007
1.16,1.0667421731154272,1.2036405439010245
1.17,1.0666963921002826,1.2035665028724842
1.18,1.066619395332638,1.2034917714648834
1.19,1.0664996389669053,1.2034163418547186
1.2,1.0663255791574957,1.2033402062184853
1.21,1.0660856720588212,1.203263356732681
1.22,1.0657696477389693,1.2031857856173145
1.23,1.0653793491382588,1.2031074855061357
1.24,1.0649233189756835,1.2030284492617374
1.25,1.064410170756309,1.2029486697491316
1.26,1.063848517985202,1.2028681398333294
1.27,1.0632469741674282,1.2027868523793426
1.28,1.0626141528080535,1.2027048002521825
1.29,1.0619586674121442,1.2026219763168606
1.3,1.0612891314847666,1.2025383734383883
1.31,1.0606141585309863,1.202453984481777
1.32,1.0599423620558697,1.2023688023120385
1.33,1.0592823555644824,1.202282819794184
1.34,1.0586427525618909,1.202196029793225
1.35,1.0580321382059512,1.2021084251678469
1.36,1.0574556218916797,1.2020199980010813
1.37,1.0569115378176903,1.2019307388640028
1.38,1.056397438290739,1.2018406381531974
1.39,1.0559108756175823,1.201749686265252
1.4,1.0554494021049763,1.2016578735967525
1.41,1.0550105700596772,1.2015651905442857
1.42,1.0545919317884416,1.2014716275044384
1.43,1.0541910395980254,1.201377174873797
1.44,1.0538054457951849,1.2012818230489475
1.45,1.0534327026866768,1.2011855624264767
1.46,1.0530703625792568,1.2010883834029713
1.47,1.0527159777796813,1.2009902763750178
1.48,1.0523671005947068,1.2008912317392024
1.49,1.0520215084780775,1.2007912428538812
1.5,1.051678791895255,1.2006903269272597
1.51,1.051339416125759,1.2005885126755695
1.52,1.051003852098889,1.2004858288893645
1.53,1.0506725707439444,1.2003823043591977
1.54,1.0503460429902243,1.2002779678756226
1.55,1.0500247397670284,1.200172848229192
1.56,1.0497091320036562,1.2000669742104602
1.57,1.0493996906294067,1.1999603746099796
1.58,1.0490968865735795,1.1998530782183046
1.59,1.0488011907654737,1.1997451138259874
1.6,1.048513074134389,1.199636510223582
1.61,1.0482330076096247,1.1995272962016417
1.62,1.0479614586624866,1.1994175005654761
1.63,1.047698623725341,1.1993071532770347
1.64,1.0474442378146307,1.1991962862673244
1.65,1.0471979910012224,1.1990849316591548
1.66,1.0469595733559822,1.1989731215753343
1.67,1.046728674949777,1.198860888138673
1.68,1.0465049858534727,1.1987482634719797
1.69,1.0462881961379358,1.1986352796980637
1.7,1.0460779958740327,1.1985219689397337
1.71,1.0458740751326296,1.1984083633197997
1.72,1.0456761239845933,1.1982944949610708
1.73,1.0454838325007898,1.1981803959863555
1.74,1.0452968907520857,1.198066098518464
1.75,1.0451149888093472,1.1979516346802046
1.76,1.0449378300943142,1.197837036513478
1.77,1.0447652096483484,1.197722335504948
1.78,1.0445969609713204,1.197607562908212
1.79,1.0444329176951785,1.1974927499760664
1.8,1.044272913451871,1.1973779279613077
1.81,1.0441167818733461,1.1972631281167332
1.82,1.0439643565915524,1.197148381695139
1.83,1.0438154712384382,1.1970337199493217
1.84,1.0436699594459515,1.1969191741320784
1.85,1.0435276548460408,1.1968047754962057
1.86,1.0433883910706545,1.1966905552944995
1.87,1.0432520017517404,1.1965765447797574
1.88,1.0431183205212473,1.1964627752047758
1.89,1.0429871824149208,1.1963492778236855
1.9,1.0428584983727567,1.19623608396278
1.91,1.042732292434622,1.1961232250558735
1.92,1.0426085978561979,1.196010732545544
1.93,1.0424874478931643,1.1958986378743681
1.94,1.0423688758012024,1.195786972484923
1.95,1.0422529148359931,1.1956757678197851
1.96,1.0421395982532167,1.1955650553215316
1.97,1.0420289593085543,1.1954548664327393
