# x_m, y_m, w_tr_right_m, w_tr_left_m
2.03376, -9.07995, 0.59113, 0.82963
1.95292, -9.14098, 0.58793, 0.77022
1.86530, -9.19032, 0.58373, 0.74073
1.77279, -9.22816, 0.57938, 0.69568
1.67654, -9.25625, 0.57118, 0.65095
1.57763, -9.27638, 0.56504, 0.61864
1.47718, -9.29036, 0.56201, 0.60637
1.37628, -9.30001, 0.56131, 0.59957
1.27568, -9.30673, 0.56149, 0.59553
1.17540, -9.31112, 0.56237, 0.59183
1.07536, -9.31370, 0.56308, 0.58665
0.97551, -9.31498, 0.56340, 0.58072
0.87579, -9.31548, 0.56326, 0.57682
0.77613, -9.31570, 0.56348, 0.57196
0.67647, -9.31616, 0.56559, 0.56874
0.57675, -9.31738, 0.57082, 0.56687
0.47692, -9.31962, 0.58217, 0.56416
0.37699, -9.32259, 0.58983, 0.56292
0.27700, -9.32588, 0.59352, 0.56096
0.17697, -9.32909, 0.59271, 0.55892
0.07691, -9.33184, 0.58686, 0.55494
-0.02314, -9.33371, 0.58069, 0.55065
-0.12317, -9.33432, 0.57652, 0.54234
-0.22314, -9.33326, 0.56961, 0.53385
-0.32305, -9.33029, 0.56254, 0.52722
-0.42292, -9.32595, 0.55592, 0.52359
-0.52278, -9.32108, 0.55045, 0.52274
-0.62266, -9.31653, 0.54681, 0.52252
-0.72260, -9.31311, 0.54465, 0.52339
-0.82264, -9.31168, 0.54433, 0.52355
-0.92280, -9.31306, 0.54581, 0.52298
-1.02312, -9.31787, 0.55581, 0.52167
-1.12348, -9.32433, 0.57526, 0.51792
-1.22370, -9.32911, 0.59732, 0.51703
-1.32358, -9.32887, 0.61159, 0.52268
-1.42294, -9.32027, 0.62245, 0.53251
-1.52138, -9.30046, 0.62849, 0.55987
-1.61751, -9.26919, 0.63120, 0.61218
-1.70963, -9.22700, 0.63203, 0.68041
-1.79603, -9.17442, 0.62880, 0.77504
-1.87507, -9.11204, 0.62427, 0.88800
-1.94617, -9.04101, 0.61860, 0.90905
-2.00949, -8.96292, 0.61223, 0.89477
-2.06521, -8.87934, 0.60591, 0.86295
-2.11368, -8.79171, 0.59623, 0.81976
-2.15583, -8.70088, 0.57090, 0.77375
-2.19267, -8.60764, 0.55763, 0.72066
-2.22523, -8.51275, 0.55847, 0.67803
-2.25428, -8.41678, 0.57939, 0.63771
-2.28004, -8.31990, 0.60666, 0.59650
-2.30266, -8.22224, 0.62193, 0.57038
-2.32226, -8.12390, 0.62782, 0.54960
-2.33900, -8.02500, 0.63570, 0.53371
-2.35302, -7.92565, 0.64396, 0.52229
-2.36444, -7.82598, 0.65011, 0.51614
-2.37343, -7.72609, 0.65682, 0.51063
-2.38011, -7.62610, 0.66332, 0.50675
-2.38467, -7.52610, 0.66846, 0.50425
-2.38737, -7.42611, 0.67211, 0.50213
-2.38851, -7.32611, 0.67407, 0.49942
-2.38838, -7.22611, 0.67561, 0.49587
-2.38727, -7.12611, 0.67687, 0.49325
-2.38547, -7.02612, 0.67800, 0.48906
-2.38328, -6.92612, 0.67982, 0.48572
-2.38098, -6.82611, 0.68162, 0.48445
