# x_m, y_m, w_tr_right_m, w_tr_left_m
-4.97654, 17.58958, 1.24542, 1.59610
-4.87806, 17.56889, 1.26446, 1.60846
-4.78012, 17.54499, 1.26273, 1.62093
-4.68298, 17.51777, 1.27263, 1.65081
-4.58691, 17.48711, 1.28695, 1.68464
-4.49217, 17.45288, 1.28529, 1.70229
-4.39904, 17.41497, 1.29650, 1.72001
-4.30779, 17.37325, 1.30272, 1.74952
-4.21867, 17.32762, 1.30076, 1.78366
-4.13196, 17.27794, 1.30469, 1.80623
-4.04789, 17.22415, 1.30440, 1.81408
-3.96640, 17.16648, 1.30478, 1.81655
-3.88738, 17.10526, 1.30435, 1.81841
-3.81070, 17.04082, 1.29747, 1.82084
-3.73623, 16.97348, 1.29776, 1.83499
-3.66385, 16.90358, 1.29515, 1.85251
-3.59343, 16.83143, 1.28501, 1.86791
-3.52484, 16.75737, 1.27888, 1.88700
-3.45797, 16.68173, 1.27908, 1.90867
-3.39267, 16.60483, 1.27765, 1.92832
-3.32885, 16.52696, 1.27259, 1.95202
-3.26642, 16.44822, 1.27149, 1.98808
-3.20536, 16.36864, 1.27276, 2.00926
-3.14561, 16.28823, 1.27708, 2.01913
-3.08712, 16.20702, 1.28196, 2.02739
-3.02986, 16.12506, 1.28152, 2.02589
-2.97377, 16.04235, 1.28442, 2.01762
-2.91881, 15.95893, 1.29127, 2.00651
-2.86493, 15.87482, 1.29865, 1.99466
-2.81209, 15.79006, 1.30737, 1.98320
-2.76024, 15.70466, 1.31649, 1.97362
-2.70934, 15.61867, 1.32782, 1.96691
-2.65938, 15.53208, 1.33827, 1.96313
-2.61035, 15.44493, 1.33802, 1.96136
-2.56225, 15.35723, 1.34246, 1.96070
-2.51510, 15.26899, 1.35361, 1.96049
-2.46887, 15.18024, 1.36266, 1.95970
-2.42359, 15.09097, 1.37145, 1.95706
-2.37924, 15.00122, 1.37952, 1.95455
-2.33583, 14.91100, 1.38705, 1.94386
-2.29336, 14.82033, 1.39339, 1.91930
-2.25183, 14.72921, 1.39438, 1.89892
-2.21124, 14.63768, 1.39588, 1.87978
-2.17158, 14.54573, 1.39978, 1.85780
-2.13288, 14.45339, 1.40213, 1.83574
-2.09513, 14.36067, 1.40378, 1.81384
-2.05834, 14.26756, 1.40493, 1.79280
-2.02253, 14.17408, 1.40552, 1.77316
-1.98770, 14.08024, 1.40569, 1.75467
-1.95387, 13.98605, 1.40545, 1.73643
-1.92103, 13.89151, 1.40521, 1.71753
-1.88921, 13.79664, 1.40455, 1.69711
-1.85841, 13.70144, 1.40245, 1.67425
-1.82863, 13.60592, 1.40012, 1.64806
-1.79989, 13.51010, 1.39788, 1.61764
-1.77220, 13.41397, 1.39564, 1.58329
-1.74557, 13.31755, 1.39342, 1.54693
-1.71998, 13.22084, 1.39015, 1.51067
-1.69541, 13.12387, 1.38864, 1.47653
-1.67184, 13.02665, 1.38864, 1.44665
-1.64922, 12.92920, 1.38397, 1.42312
-1.62755, 12.83152, 1.37774, 1.40718
-1.60678, 12.73364, 1.37123, 1.39876
-1.58689, 12.63556, 1.36336, 1.39708
-1.56786, 12.53731, 1.35418, 1.40153
-1.54964, 12.43890, 1.34358, 1.41195
-1.53223, 12.34034, 1.33113, 1.42639
-1.51559, 12.24164, 1.31709, 1.44578
-1.49968, 12.14284, 1.30252, 1.47290
-1.48450, 12.04392, 1.28469, 1.48113
-1.46999, 11.94492, 1.27344, 1.48475
-1.45615, 11.84584, 1.27378, 1.51369
-1.44293, 11.74669, 1.26119, 1.54275
-1.43031, 11.64746, 1.24476, 1.56823
-1.41826, 11.54817, 1.23335, 1.59131
-1.40675, 11.44882, 1.22403, 1.60857
-1.39575, 11.34941, 1.21805, 1.61949
-1.38523, 11.24995, 1.21538, 1.62476
-1.37516, 11.15044, 1.21543, 1.62532
-1.36551, 11.05089, 1.21790, 1.62203
-1.35626, 10.95130, 1.22239, 1.61579
-1.34736, 10.85168, 1.22850, 1.60747
-1.33881, 10.75203, 1.23585, 1.59794
-1.33055, 10.65236, 1.24405, 1.58809
-1.32257, 10.55267, 1.25271, 1.57880
-1.31484, 10.45297, 1.26145, 1.57083
-1.30733, 10.35325, 1.26987, 1.56458
-1.30003, 10.25353, 1.27756, 1.55984
-1.29292, 10.15379, 1.28414, 1.55596
-1.28599, 10.05404, 1.28917, 1.55435
-1.27922, 9.95428, 1.29245, 1.55423
-1.27261, 9.85452, 1.29409, 1.55146
-1.26613, 9.75474, 1.29415, 1.54879
-1.25977, 9.65495, 1.29301, 1.54715
-1.25352, 9.55515, 1.29049, 1.54563
-1.24737, 9.45534, 1.28627, 1.54426
-1.24129, 9.35553, 1.28514, 1.54275
-1.23528, 9.25570, 1.28411, 1.54114
-1.22932, 9.15587, 1.27848, 1.53899
-1.22339, 9.05602, 1.27241, 1.53562
-1.21748, 8.95617, 1.26611, 1.53501
-1.21159, 8.85631, 1.25923, 1.53434
-1.20568, 8.75644, 1.25216, 1.52856
-1.19972, 8.65656, 1.24501, 1.52178
-1.19369, 8.55669, 1.23793, 1.51415
-1.18752, 8.45682, 1.23115, 1.50469
-1.18119, 8.35696, 1.22477, 1.49361
-1.17464, 8.25713, 1.21869, 1.48144
-1.16785, 8.15731, 1.21384, 1.46425
-1.16077, 8.05752, 1.20820, 1.45149
-1.15335, 7.95776, 1.19989, 1.45240
-1.14556, 7.85804, 1.19543, 1.43862
-1.13736, 7.75837, 1.19334, 1.41632
-1.12870, 7.65874, 1.19107, 1.39758
-1.11954, 7.55916, 1.18960, 1.37864
-1.10984, 7.45964, 1.18883, 1.35688
-1.09957, 7.36019, 1.18871, 1.34825
-1.08867, 7.26081, 1.18932, 1.34892
-1.07712, 7.16150, 1.19067, 1.33099
-1.06486, 7.06227, 1.19278, 1.31230
-1.05186, 6.96312, 1.19567, 1.29920
-1.03819, 6.86405, 1.19928, 1.28767
-1.02394, 6.76505, 1.20348, 1.27884
-1.00920, 6.66610, 1.20816, 1.27792
-0.99407, 6.56720, 1.21321, 1.27723
-0.97866, 6.46834, 1.21851, 1.27083
-0.96305, 6.36950, 1.22394, 1.26806
-0.94735, 6.27068, 1.22940, 1.26847
-0.93165, 6.17186, 1.23477, 1.27098
-0.91605, 6.07303, 1.23994, 1.27595
-0.90065, 5.97419, 1.24478, 1.28308
-0.88554, 5.87532, 1.24919, 1.29204
-0.87083, 5.77641, 1.25305, 1.30233
-0.85661, 5.67745, 1.25626, 1.31315
-0.84297, 5.57843, 1.25878, 1.32354
-0.83002, 5.47934, 1.26035, 1.33441
-0.81786, 5.38018, 1.26131, 1.34107
-0.80657, 5.28092, 1.26183, 1.34076
-0.79623, 5.18156, 1.26073, 1.34569
-0.78678, 5.08211, 1.25839, 1.35098
-0.77818, 4.98257, 1.25529, 1.35185
-0.77034, 4.88295, 1.25135, 1.35089
-0.76322, 4.78326, 1.24667, 1.34855
-0.75675, 4.68350, 1.24134, 1.34554
-0.75087, 4.58369, 1.23544, 1.34273
-0.74551, 4.48382, 1.22905, 1.34088
-0.74061, 4.38390, 1.22225, 1.34076
-0.73611, 4.28395, 1.21512, 1.34325
-0.73195, 4.18396, 1.20775, 1.34886
-0.72806, 4.08395, 1.20021, 1.35765
-0.72438, 3.98391, 1.19259, 1.36968
-0.72085, 3.88387, 1.18497, 1.38344
-0.71741, 3.78382, 1.17742, 1.40070
-0.71399, 3.68377, 1.17003, 1.42220
-0.71053, 3.58372, 1.16288, 1.42630
-0.70696, 3.48370, 1.15605, 1.43014
-0.70324, 3.38369, 1.14961, 1.45265
-0.69931, 3.28371, 1.14363, 1.47474
-0.69521, 3.18375, 1.13809, 1.49679
-0.69095, 3.08381, 1.13300, 1.52022
-0.68657, 2.98389, 1.12833, 1.54283
-0.68209, 2.88398, 1.12408, 1.56361
-0.67753, 2.78409, 1.12024, 1.58484
-0.67293, 2.68420, 1.11681, 1.59682
-0.66829, 2.58432, 1.11378, 1.59600
-0.66366, 2.48445, 1.11113, 1.60563
-0.65906, 2.38458, 1.10886, 1.61562
-0.65451, 2.28471, 1.10693, 1.61753
-0.65004, 2.18484, 1.10526, 1.61472
-0.64568, 2.08496, 1.10373, 1.60718
-0.64144, 1.98507, 1.10218, 1.59559
-0.63736, 1.88517, 1.10060, 1.58096
-0.63344, 1.78526, 1.09883, 1.56397
-0.62969, 1.68534, 1.09630, 1.54520
-0.62612, 1.58541, 1.09524, 1.52646
-0.62273, 1.48547, 1.09485, 1.50633
-0.61953, 1.38553, 1.09162, 1.48631
-0.61652, 1.28557, 1.08766, 1.48375
-0.61371, 1.18560, 1.08336, 1.47830
-0.61111, 1.08563, 1.07818, 1.45883
-0.60872, 0.98565, 1.07220, 1.44482
-0.60654, 0.88566, 1.06528, 1.43413
-0.60460, 0.78566, 1.05736, 1.42505
-0.60288, 0.68566, 1.04852, 1.41801
-0.60140, 0.58565, 1.03899, 1.41221
-0.60016, 0.48564, 1.02902, 1.40717
-0.59918, 0.38562, 1.01880, 1.40242
-0.59854, 0.28560, 1.00850, 1.39753
-0.59831, 0.18558, 0.99827, 1.39209
-0.59858, 0.08557, 0.98827, 1.38547
-0.59943, -0.01444, 0.97866, 1.37785
-0.60093, -0.11443, 0.96957, 1.36845
-0.60317, -0.21441, 0.96096, 1.35657
-0.60623, -0.31438, 0.95219, 1.35333
-0.61019, -0.41432, 0.94348, 1.35166
-0.61514, -0.51424, 0.93363, 1.33969
-0.62116, -0.61412, 0.92023, 1.32842
-0.62840, -0.71393, 0.91652, 1.31975
-0.63698, -0.81364, 0.91448, 1.31036
-0.64705, -0.91320, 0.89766, 1.30065
-0.65875, -1.01259, 0.88114, 1.29934
-0.67220, -1.11177, 0.86859, 1.30366
-0.68754, -1.21070, 0.85912, 1.31071
-0.70491, -1.30935, 0.85310, 1.32152
-0.72445, -1.40769, 0.84986, 1.33522
-0.74629, -1.50567, 0.84864, 1.35318
-0.77061, -1.60322, 0.84725, 1.37156
-0.79778, -1.70003, 0.84936, 1.39173
-0.82822, -1.79576, 0.87328, 1.44105
-0.86233, -1.89006, 0.88548, 1.48275
-0.90054, -1.98258, 0.88726, 1.51222
-0.94325, -2.07297, 0.92134, 1.57248
-0.99087, -2.16089, 0.93030, 1.60831
-1.04340, -2.24612, 0.93755, 1.64114
-1.10049, -2.32855, 0.96251, 1.66990
-1.16176, -2.40810, 0.96353, 1.61770
-1.22681, -2.48467, 0.97489, 1.51195
-1.29528, -2.55817, 0.98807, 1.37263
-1.36683, -2.62849, 0.99014, 1.24045
-1.44139, -2.69543, 1.00720, 1.17648
-1.51898, -2.75877, 1.01458, 1.07780
-1.59961, -2.81828, 1.02290, 0.97271
-1.68332, -2.87373, 1.04462, 0.93058
-1.77011, -2.92491, 1.04855, 0.89419
-1.85979, -2.97187, 1.06006, 0.86467
-1.95093, -3.01643, 1.08489, 0.85717
-2.04154, -3.06113, 1.11249, 0.86855
-2.12969, -3.10848, 1.16230, 0.87609
-2.21341, -3.16101, 1.27335, 0.88116
-2.29075, -3.22123, 1.40618, 0.89606
-2.36072, -3.29031, 1.51625, 0.91856
-2.42392, -3.36703, 1.67985, 0.91828
-2.48115, -3.44995, 1.82297, 0.90664
-2.53320, -3.53763, 1.89667, 0.91397
-2.58085, -3.62863, 1.94462, 0.94183
-2.62491, -3.72150, 2.01654, 0.93689
-2.66593, -3.81506, 2.10289, 0.96561
-2.70364, -3.90914, 2.16824, 1.01298
-2.73751, -4.00387, 2.19717, 1.00734
-2.76703, -4.09934, 2.22336, 1.09265
-2.79169, -4.19567, 2.23996, 1.14942
-2.81096, -4.29296, 2.29502, 1.15640
-2.82435, -4.39133, 2.44075, 1.26644
-2.83181, -4.49067, 2.48312, 1.28885
-2.83371, -4.59069, 2.53093, 1.32576
