# x_m, y_m, w_tr_right_m, w_tr_left_m
13.67125, 5.51380, 1.22694, 0.49594
13.71657, 5.42353, 1.19481, 0.51968
13.76812, 5.33718, 1.15572, 0.55008
13.82557, 5.25512, 1.12411, 0.56973
13.88886, 5.17754, 1.10125, 0.58533
13.95792, 5.10464, 1.08024, 0.60336
14.03267, 5.03663, 1.05578, 0.62518
14.11304, 4.97370, 1.02555, 0.65322
14.19877, 4.91642, 1.00618, 0.68368
14.28901, 4.86637, 0.99915, 0.71379
14.38282, 4.82536, 1.00868, 0.74851
14.47923, 4.79516, 1.01858, 0.75571
14.57731, 4.77757, 1.00055, 0.76506
14.67611, 4.77434, 0.97118, 0.77274
14.77476, 4.78556, 1.00096, 0.77896
14.87256, 4.80898, 1.06946, 0.79399
14.96877, 4.84213, 1.14832, 0.80731
15.06268, 4.88256, 1.13009, 0.82963
15.15365, 4.92807, 1.08569, 0.85707
15.24137, 4.97808, 1.03047, 0.88128
15.32568, 5.03252, 0.97671, 0.90458
15.40641, 5.09135, 0.93584, 0.92633
15.48340, 5.15454, 0.89445, 0.94707
15.55648, 5.22203, 0.85732, 0.96492
15.62584, 5.29349, 0.83190, 0.98110
15.69197, 5.36830, 0.80918, 0.99383
15.75541, 5.44584, 0.77598, 1.01595
15.81669, 5.52547, 0.75415, 1.02740
15.87633, 5.60656, 0.73723, 1.04596
15.93486, 5.68847, 0.71970, 1.06466
15.99266, 5.77072, 0.69902, 1.08370
16.04954, 5.85339, 0.67901, 1.10250
16.10522, 5.93664, 0.66025, 1.11491
16.15938, 6.02067, 0.64968, 1.13117
16.21174, 6.10566, 0.63247, 1.14744
16.26197, 6.19180, 0.61786, 1.15489
16.30981, 6.27927, 0.60586, 1.16610
16.35517, 6.36811, 0.59650, 1.17143
16.39828, 6.45818, 0.58977, 1.17605
16.43940, 6.54933, 0.58600, 1.18002
16.47875, 6.64143, 0.58538, 1.18252
16.51658, 6.73431, 0.58635, 1.18305
16.55313, 6.82784, 0.59100, 1.18381
16.58859, 6.92189, 0.60025, 1.18567
16.62245, 7.01649, 0.60751, 1.18732
16.65372, 7.11181, 0.62360, 1.19080
16.68138, 7.20802, 0.64583, 1.19195
16.70445, 7.30529, 0.67312, 1.19212
16.72191, 7.40379, 0.69608, 1.19067
16.73285, 7.50359, 0.72474, 1.18925
16.73684, 7.60419, 0.75006, 1.18534
16.73364, 7.70487, 0.77763, 1.18171
16.72302, 7.80490, 0.82606, 1.17814
16.70477, 7.90356, 0.88939, 1.16776
16.67876, 8.00018, 0.95827, 1.16531
16.64569, 8.09463, 0.99182, 1.14703
16.60655, 8.18697, 1.01270, 1.12529
16.56235, 8.27727, 1.03616, 1.10364
16.51410, 8.36559, 1.06481, 1.06453
16.46271, 8.45196, 1.10583, 1.03407
16.40842, 8.53635, 1.14075, 1.01303
16.35130, 8.61865, 1.18698, 0.99222
16.29138, 8.69879, 1.21089, 0.96624
16.22872, 8.77668, 1.21929, 0.94491
16.16336, 8.85223, 1.22545, 0.93321
16.09539, 8.92541, 1.24489, 0.92536
16.02503, 8.99636, 1.26217, 0.91555
15.95249, 9.06523, 1.27093, 0.91172
15.87801, 9.13217, 1.26386, 0.90813
15.80180, 9.19732, 1.24202, 0.90405
15.72409, 9.26084, 1.21657, 0.89884
15.64511, 9.32286, 1.18891, 0.89501
15.56506, 9.38355, 1.15943, 0.89222
15.48419, 9.44305, 1.13007, 0.89137
15.40267, 9.50150, 1.10253, 0.89451
15.32059, 9.55899, 1.07713, 0.90220
15.23801, 9.61562, 1.05416, 0.90912
15.15497, 9.67148, 1.04031, 0.92287
15.07152, 9.72665, 1.01987, 0.93928
14.98773, 9.78123, 1.00093, 0.95747
14.90364, 9.83531, 0.98558, 0.97659
14.81931, 9.88898, 0.97317, 0.99592
14.73479, 9.94232, 0.95751, 1.02055
14.65012, 9.99543, 0.94446, 1.03624
14.56538, 10.04840, 0.93396, 1.04984
14.48060, 10.10131, 0.92035, 1.06203
14.39585, 10.15427, 0.91284, 1.07322
14.31116, 10.20735, 0.89899, 1.08345
14.22661, 10.26065, 0.89083, 1.09848
14.14222, 10.31423, 0.87751, 1.10915
14.05798, 10.36807, 0.86380, 1.12068
13.97385, 10.42210, 0.85623, 1.13327
13.88981, 10.47630, 0.84280, 1.14729
13.80584, 10.53060, 0.83255, 1.16629
13.72190, 10.58497, 0.82148, 1.18655
13.63796, 10.63935, 0.80863, 1.20469
13.55400, 10.69369, 0.80144, 1.22298
13.46998, 10.74795, 0.78833, 1.24094
13.38589, 10.80209, 0.77705, 1.25800
13.30168, 10.85605, 0.76891, 1.27373
13.21733, 10.90978, 0.75758, 1.29099
13.13282, 10.96325, 0.74744, 1.30162
13.04812, 11.01640, 0.74023, 1.30783
12.96323, 11.06925, 0.73046, 1.30888
12.87817, 11.12181, 0.72500, 1.30273
12.79294, 11.17410, 0.71527, 1.28383
12.70756, 11.22615, 0.70660, 1.25093
12.62205, 11.27798, 0.70157, 1.21877
12.53640, 11.32959, 0.69292, 1.18671
12.45063, 11.38102, 0.68479, 1.15822
12.36476, 11.43228, 0.68027, 1.13275
12.27880, 11.48339, 0.67238, 1.09490
12.19276, 11.53437, 0.66493, 1.06412
12.10664, 11.58525, 0.66028, 1.01039
12.02047, 11.63603, 0.65281, 0.96790
11.93425, 11.68674, 0.64746, 0.92923
11.84798, 11.73737, 0.64056, 0.89643
11.76163, 11.78787, 0.63309, 0.86348
11.67517, 11.83818, 0.62899, 0.82202
11.58859, 11.88827, 0.62122, 0.78307
11.50185, 11.93806, 0.61434, 0.74278
11.41492, 11.98753, 0.61036, 0.70745
11.32778, 12.03660, 0.60343, 0.68169
11.24041, 12.08524, 0.59755, 0.66513
11.15277, 12.13339, 0.59414, 0.65664
11.06484, 12.18099, 0.58849, 0.65512
10.97659, 12.22801, 0.58405, 0.66009
10.88800, 12.27439, 0.58165, 0.67214
10.79905, 12.32008, 0.57771, 0.69248
10.70975, 12.36510, 0.57505, 0.70829
10.62009, 12.40944, 0.57388, 0.74031
10.53010, 12.45310, 0.57170, 0.78870
10.43977, 12.49609, 0.57072, 0.83002
10.34912, 12.53841, 0.57069, 0.86885
10.25815, 12.58006, 0.57013, 0.90901
10.16687, 12.62105, 0.57068, 0.95209
10.07529, 12.66137, 0.57192, 0.99983
9.98342, 12.70103, 0.57263, 1.06618
9.89126, 12.74004, 0.57456, 1.12473
9.79881, 12.77838, 0.57703, 1.17772
9.70610, 12.81607, 0.57881, 1.25605
9.61312, 12.85311, 0.58198, 1.30596
9.51989, 12.88950, 0.58559, 1.35919
9.42641, 12.92525, 0.58838, 1.41080
9.33269, 12.96035, 0.59290, 1.44492
9.23873, 12.99483, 0.59801, 1.47237
9.14456, 13.02869, 0.60218, 1.49341
9.05017, 13.06193, 0.60875, 1.50794
8.95558, 13.09457, 0.61703, 1.51594
8.86079, 13.12662, 0.62172, 1.51809
8.76582, 13.15808, 0.63137, 1.51556
8.67066, 13.18897, 0.64274, 1.50952
8.57534, 13.21928, 0.64934, 1.50115
8.47986, 13.24904, 0.66260, 1.49163
8.38423, 13.27825, 0.67774, 1.48213
8.28846, 13.30692, 0.68664, 1.47353
8.19256, 13.33505, 0.70422, 1.46560
8.09653, 13.36267, 0.72358, 1.45791
8.00038, 13.38977, 0.73491, 1.45002
7.90411, 13.41641, 0.75651, 1.44150
7.80773, 13.44261, 0.77931, 1.43193
7.71123, 13.46840, 0.79257, 1.42088
7.61461, 13.49384, 0.81718, 1.40795
7.51787, 13.51894, 0.84203, 1.39276
7.42100, 13.54375, 0.86338, 1.37543
7.32402, 13.56830, 0.88365, 1.35685
7.22692, 13.59262, 0.90987, 1.32640
7.12970, 13.61676, 0.93771, 1.30338
7.03236, 13.64075, 0.95230, 1.27948
6.93489, 13.66461, 0.97961, 1.25492
6.83730, 13.68822, 1.00643, 1.22980
6.73958, 13.71133, 1.02598, 1.20415
6.64171, 13.73370, 1.05075, 1.17795
6.54368, 13.75508, 1.07905, 1.15124
6.44550, 13.77522, 1.10837, 1.12404
6.34714, 13.79386, 1.13892, 1.09640
6.24860, 13.81076, 1.17119, 1.07174
6.14988, 13.82566, 1.21416, 1.05048
6.05096, 13.83833, 1.25451, 1.02136
5.95183, 13.84850, 1.29283, 0.99466
5.85249, 13.85596, 1.34364, 0.97194
5.75293, 13.86072, 1.39218, 0.94116
5.65314, 13.86293, 1.44141, 0.92259
5.55313, 13.86276, 1.50161, 0.89524
5.45289, 13.86035, 1.54861, 0.87940
5.35241, 13.85585, 1.61425, 0.85918
5.25170, 13.84940, 1.65872, 0.84292
5.15097, 13.84070, 1.70040, 0.83334
5.05069, 13.82889, 1.75288, 0.81859
4.95132, 13.81308, 1.79975, 0.81035
4.85334, 13.79239, 1.83153, 0.80306
4.75723, 13.76593, 1.84945, 0.79784
4.66346, 13.73283, 1.87331, 0.79405
4.57239, 13.69258, 1.80791, 0.79069
4.48403, 13.64585, 1.73124, 0.78864
4.39830, 13.59353, 1.65800, 0.78833
4.31514, 13.53653, 1.60234, 0.78987
4.23448, 13.47573, 1.50469, 0.79359
4.15627, 13.41201, 1.41806, 0.80201
4.08054, 13.34581, 1.32612, 0.81280
4.00746, 13.27710, 1.24069, 0.82376
3.93718, 13.20585, 1.17952, 0.84216
3.86988, 13.13201, 1.12306, 0.86088
3.80572, 13.05554, 1.07328, 0.87465
3.74482, 12.97643, 1.04636, 0.89507
3.68709, 12.89486, 1.02596, 0.91241
3.63236, 12.81107, 1.01131, 0.92431
3.58046, 12.72531, 0.99923, 0.94197
3.53119, 12.63784, 0.99549, 0.95583
3.48440, 12.54891, 0.99534, 0.97358
3.43990, 12.45877, 0.99791, 0.98312
3.39752, 12.36766, 1.00243, 0.99932
3.35708, 12.27583, 1.00814, 1.01362
3.31838, 12.18341, 1.01432, 1.02102
3.28125, 12.09045, 1.02027, 1.03269
3.24549, 11.99702, 1.02530, 1.04189
3.21089, 11.90320, 1.02853, 1.04870
3.17728, 11.80904, 1.02951, 1.05283
3.14445, 11.71462, 1.02845, 1.05395
3.11221, 11.61999, 1.02424, 1.05174
3.08038, 11.52523, 1.03544, 1.04587
3.04875, 11.43040, 1.05057, 1.03601
