# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
12.7617724,1.7046295,-9.8242106,-1.2004048,0.5519378,3.5858660,-4.5390304
12.8614738,1.7894261,-9.7886863,-1.1466413,0.6241745,3.4573603,-3.7662576
12.9611751,1.8789620,-9.7446354,-1.0786023,0.7350021,3.3469894,-2.9528246
13.0608765,1.9781565,-9.6856002,-0.9870421,0.8524185,3.2578424,-2.1954561
13.1605778,2.0635314,-9.6232478,-0.8909944,0.9635198,3.1899463,-1.5746684
13.2602792,2.1362159,-9.5584203,-0.7924267,1.0571467,3.1403446,-1.1932296
13.3599805,2.1973392,-9.4919596,-0.6937566,1.1229177,3.1022300,-1.1641258
13.4596819,2.2480306,-9.4247077,-0.5976068,1.1537712,3.0645882,0.0000000
13.5593832,2.2983091,-9.3406472,-0.4781490,1.2777238,3.0645882,0.0000000
13.6590846,2.3374601,-9.2520943,-0.3553833,1.2178583,3.0645882,0.5622388
13.7587859,2.3661245,-9.1593677,-0.2484172,0.9621974,3.0828255,2.8554555
13.8584873,2.3867967,-9.0600722,-0.1677619,0.6292296,3.1738303,5.6616457
13.9581886,2.4001498,-8.9663734,-0.1165225,0.5442712,3.3469607,5.9029950
14.0578900,2.4083946,-8.8758202,-0.0641805,0.6033875,3.5184114,4.5305337
14.1575913,2.4117027,-8.7796403,-0.0038955,0.6463386,3.6445328,3.4149306
14.2572926,2.4087104,-8.6781347,0.0633079,0.6742005,3.7367855,2.5857564
14.3569940,2.3980538,-8.5716042,0.1363170,0.6866190,3.8051508,2.0583246
14.4566953,2.3792781,-8.4645653,0.2109037,0.6821944,3.8587055,1.8423920
14.5563967,2.3576304,-8.3767111,0.2721413,0.6729353,3.9060192,1.7330350
14.6560980,2.3295520,-8.2871161,0.3352431,0.6721246,3.9500074,1.5131371
14.7557994,2.2946353,-8.1965374,0.4006945,0.6767550,3.9880173,0.4800250
14.8555007,2.2524728,-8.1057322,0.4688236,0.6842087,4.0000000,0.0000000
14.9552021,2.2026572,-8.0154579,0.5397974,0.6920236,4.0000000,0.0000000
15.0549034,2.1447809,-7.9264714,0.6136108,0.6978104,4.0000000,0.0000000
15.1546048,2.0789373,-7.8401371,0.6895051,0.6915339,4.0000000,0.0000000
15.2543061,2.0147224,-7.7670482,0.7500499,0.5582086,4.0000000,0.0000000
15.3540075,1.9450880,-7.6960805,0.8000004,0.4505982,4.0000000,0.0000000
15.4537088,1.8711817,-7.6272849,0.8409181,0.3628585,4.0000000,0.0000000
15.5534102,1.7941509,-7.5607121,0.8740311,0.2896533,4.0000000,0.0000000
15.6531115,1.7151434,-7.4964130,0.9002469,0.2262839,4.0000000,0.0000000
15.7528129,1.6353065,-7.4344384,0.9201723,0.1684621,4.0000000,0.0000000
15.8525142,1.5557878,-7.3748390,0.9341206,0.1118785,4.0000000,0.0000000
15.9522155,1.4777349,-7.3176657,0.9420957,0.0515446,4.0000000,-1.5469952
16.0519169,1.3833856,-7.2493320,0.9448656,-0.0022881,3.9612530,-11.0546868
16.1516182,1.2908180,-7.1822310,0.9409724,-0.0700897,3.6724911,-10.0997181
16.2513196,1.2047503,-7.1188043,0.9287449,-0.1656267,3.3872230,-9.0276611
16.3510209,1.1261260,-7.0587485,0.9059345,-0.3072776,3.1101672,-7.7024370
16.4507223,1.0558888,-7.0017604,0.8690873,-0.5281344,2.8525871,-5.7882070
16.5504236,0.9949820,-6.9475368,0.8128048,-0.8895506,2.6425497,-2.7086649
16.6501250,0.9259242,-6.8745339,0.6934200,-1.4420924,2.5382974,0.0000000
16.7498263,0.8657549,-6.7882164,0.5164672,-1.8624997,2.5382974,0.0000000
16.8495277,0.8271233,-6.7040551,0.3473769,-1.6537425,2.5382974,1.3450136
16.9492290,0.8021666,-6.6187132,0.2339113,-0.8368653,2.5905894,-1.3722816
17.0489304,0.7852734,-6.5285570,0.1268064,-1.4689424,2.5372262,-0.0155006
17.1486317,0.7806174,-6.4326461,-0.0361392,-1.8625593,2.5366170,0.0000000
17.2483331,0.7945677,-6.3298150,-0.2335328,-1.8649683,2.5366170,0.0000000
17.3480344,0.8250028,-6.2379809,-0.4018601,-1.5842281,2.5366170,1.8064017
17.4477358,0.8627430,-6.1627816,-0.5252900,-1.3601797,2.6066505,2.7580864
17.5474371,0.9137432,-6.0858027,-0.6421668,-1.1780370,2.7100917,3.3477933
17.6471384,0.9788665,-6.0083335,-0.7532773,-1.0225451,2.8305752,3.8072094
17.7468398,1.0589762,-5.9316631,-0.8588584,-0.8856397,2.9616421,4.2317677
17.8465411,1.1530910,-5.8583777,-0.9570883,-0.7491992,3.1008305,4.7963378
17.9462425,1.2315005,-5.8066266,-1.0133917,-0.4698187,3.2513924,7.0000000
18.0459438,1.3162062,-5.7561093,-1.0494616,-0.2729790,3.4593888,7.0000000
18.1456452,1.4050589,-5.7063889,-1.0692122,-0.1205859,3.6555697,7.0000000
18.2453465,1.4959094,-5.6570286,-1.0746957,0.0129820,3.8417456,-1.9465301
18.3450479,1.5866084,-5.6075918,-1.0664869,0.1480318,3.7908924,-8.1072841
18.4447492,1.6750069,-5.5576417,-1.0437962,0.3052093,3.5713095,-6.1019477
18.5444506,1.7589556,-5.5067415,-1.0043252,0.5112068,3.3966905,-4.6990767
