# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
10.7849205,-1.4495166,-0.2798333,2.0559130,1.2880153,2.9840407,0.0000000
10.8847809,-1.5329252,-0.3309300,2.1859382,1.3476334,2.9840407,0.0000000
10.9846413,-1.6084791,-0.3920305,2.3145426,1.2767020,2.9840407,0.6316087
11.0845017,-1.6773228,-0.4635661,2.4332783,1.1018409,3.0051030,2.0496665
11.1843620,-1.7406011,-0.5459686,2.5362926,0.8792348,3.0724591,3.7000186
11.2842224,-1.7899229,-0.6233100,2.6090332,0.7160401,3.1904507,4.7114455
11.3840828,-1.8349570,-0.7055429,2.6701990,0.5946937,3.3346588,5.3870363
11.4839432,-1.8771205,-0.7942170,2.7237593,0.5008546,3.4922560,5.8916519
11.5838035,-1.9163827,-0.8887843,2.7711463,0.4282029,3.6568480,6.2738405
11.6836639,-1.9527128,-0.9886972,2.8135320,0.3718126,3.8243370,6.5620357
11.7835243,-1.9851340,-1.0902398,2.8507663,0.3268844,3.9920080,0.3198064
11.8833847,-2.0111901,-1.1822841,2.8800497,0.2867873,4.0000000,0.0000000
11.9832450,-2.0351826,-1.2769969,2.9064005,0.2537544,4.0000000,0.0000000
12.0831054,-2.0571826,-1.3739888,2.9302330,0.2264187,4.0000000,0.0000000
12.1829658,-2.0772616,-1.4728702,2.9518957,0.2037089,4.0000000,0.0000000
12.2828262,-2.0954909,-1.5732517,2.9716831,0.1847860,4.0000000,0.0000000
12.3826865,-2.1119418,-1.6747437,2.9898454,0.1689935,4.0000000,0.0000000
12.4825469,-2.1263873,-1.7747677,3.0062950,0.1577333,4.0000000,0.0000000
12.5824073,-2.1390032,-1.8730827,3.0214978,0.1490310,4.0000000,0.0000000
12.6822677,-2.1501952,-1.9718537,3.0358823,0.1404015,4.0000000,0.0000000
12.7821280,-2.1600346,-2.0710636,3.0494534,0.1318665,4.0000000,0.0000000
12.8819884,-2.1685926,-2.1706951,3.0622176,0.1234433,4.0000000,0.0000000
12.9818488,-2.1759408,-2.2707309,3.0741822,0.1151447,4.0000000,0.0000000
13.0817092,-2.1821504,-2.3711539,3.0853554,0.1069800,4.0000000,0.0000000
13.1815695,-2.1872527,-2.4710761,3.0956592,0.0990140,4.0000000,0.0000000
13.2814299,-2.1913435,-2.5704633,3.1051251,0.0913579,4.0000000,0.0000000
13.3812903,-2.1945371,-2.6701134,3.1138629,0.0839658,4.0000000,0.0000000
13.4811507,-2.1968998,-2.7699691,3.1218904,0.0768082,4.0000000,0.0000000
13.5810110,-2.1984978,-2.8699732,3.1292231,0.0698556,4.0000000,0.0000000
13.6808714,-2.1993974,-2.9700683,3.1358751,0.0630786,4.0000000,0.0000000
13.7807318,-2.1996648,-3.0701971,-3.1413273,0.0564475,4.0000000,0.0000000
13.8805922,-2.1993663,-3.1702864,-3.1359999,0.0501593,4.0000000,0.0000000
13.9804525,-2.1985660,-3.2702924,-3.1312788,0.0442503,4.0000000,0.0000000
14.0803129,-2.1973239,-3.3702388,-3.1271518,0.0383246,4.0000000,0.0000000
14.1801733,-2.1957000,-3.4701247,-3.1236198,0.0323832,4.0000000,0.0000000
14.2800337,-2.1937541,-3.5699496,-3.1206837,0.0264267,4.0000000,0.0000000
14.3798940,-2.1915462,-3.6697127,-3.1183445,0.0204548,4.0000000,0.0000000
14.4797544,-2.1891361,-3.7694133,-3.1166030,0.0144669,4.0000000,0.0000000
14.5796148,-2.1865810,-3.8691496,-3.1154468,0.0093963,4.0000000,0.0000000
14.6794752,-2.1839244,-3.9690983,-3.1146319,0.0069017,4.0000000,0.0000000
14.7793355,-2.1812002,-4.0689911,-3.1140672,0.0043987,4.0000000,0.0000000
14.8791959,-2.1784335,-4.1688346,-3.1137532,0.0018886,4.0000000,0.0000000
14.9790563,-2.1756492,-4.2686353,-3.1136902,-0.0006273,4.0000000,0.0000000
15.0789167,-2.1728721,-4.3683999,-3.1138785,-0.0031476,4.0000000,0.0000000
15.1787770,-2.1701272,-4.4681348,-3.1143184,-0.0056710,4.0000000,0.0000000
15.2786374,-2.1674385,-4.5678777,-3.1150049,-0.0075656,4.0000000,0.0000000
15.3784978,-2.1648182,-4.6677531,-3.1157027,-0.0064030,4.0000000,0.0000000
15.4783582,-2.1622623,-4.7676115,-3.1162842,-0.0052391,4.0000000,0.0000000
15.5782186,-2.1597591,-4.8674534,-3.1167492,-0.0040740,4.0000000,0.0000000
15.6780789,-2.1572970,-4.9672795,-3.1170978,-0.0029077,4.0000000,0.0000000
