# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
10.9848258,8.5864416,7.9982238,-2.3194027,0.0487952,6.0715077,1.4962534
11.0846878,8.6615250,7.9288776,-2.3131837,0.0722472,6.0960678,-8.5509750
11.1845499,8.7393074,7.8581165,-2.3043024,0.0972811,5.9543436,-7.7239900
11.2844119,8.8163223,7.7894695,-2.2928226,0.1260931,5.8233616,-6.7912969
11.3842740,8.8924562,7.7233485,-2.2784544,0.1599963,5.7057125,-5.6942593
11.4841360,8.9675956,7.6601654,-2.2608221,0.2007055,5.6051649,-4.3473358
11.5839981,9.0416271,7.6003320,-2.2394430,0.2504996,5.5271698,-2.9205136
11.6838601,9.1172180,7.5421786,-2.2127196,0.3029898,5.4741492,-2.8623874
11.7837222,9.2053679,7.4785404,-2.1793178,0.3108600,5.4216807,-2.8574904
11.8835842,9.2914314,7.4206270,-2.1468435,0.3144485,5.3687905,-2.9208931
11.9834463,9.3753457,7.3679616,-2.1157241,0.3127689,5.3141828,-3.1394512
12.0833083,9.4570479,7.3200673,-2.0864239,0.3047688,5.2548563,-3.5467928
12.1831704,9.5372569,7.2760519,-2.0591815,0.2913068,5.1870160,-3.9307757
12.2830324,9.6309097,7.2281604,-2.0275093,0.3089282,5.1107792,-3.9200003
12.3828945,9.7220933,7.1851195,-1.9960666,0.3120067,5.0336016,-4.0545903
12.4827565,9.8117518,7.1461324,-1.9661095,0.2977368,4.9525091,-4.6325621
12.5826186,9.9008292,7.1104024,-1.9389200,0.2660217,4.8582005,-4.4699620
12.6824806,9.9909451,7.0770215,-1.9109234,0.3315831,4.7654331,-3.2866682
12.7823427,10.0830356,7.0462091,-1.8753991,0.3951100,4.6960543,-2.8092834
12.8822047,10.1785753,7.0182952,-1.8341708,0.4276374,4.6359297,-2.7884605
12.9820668,10.2791548,6.9935663,-1.7895774,0.4283627,4.5754695,-2.1628307
13.0819289,10.3721305,6.9748862,-1.7476274,0.4797928,4.5280185,-0.9828058
13.1817909,10.4634200,6.9607541,-1.7001732,0.5425409,4.5062914,-0.2642570
13.2816530,10.5600081,6.9508358,-1.6454799,0.5794317,4.5004315,0.0000000
13.3815150,10.6622712,6.9462617,-1.5852899,0.5924790,4.5004315,0.0000000
13.4813771,10.7705857,6.9481622,-1.5213634,0.5843478,4.5004315,0.1646878
13.5812391,10.8710671,6.9560614,-1.4642135,0.5304950,4.5040843,1.2379674
13.6811012,10.9618760,6.9679081,-1.4189983,0.4604550,4.5314487,2.5450043
13.7809632,11.0558937,6.9843228,-1.3777525,0.4064924,4.5871915,3.4464536
13.8808253,11.1527126,7.0052057,-1.3396542,0.3648037,4.6616163,0.9682452
13.9806873,11.2519248,7.0304571,-1.3040328,0.3326205,4.6823122,-4.6487389
14.0805494,11.3531226,7.0599770,-1.2703341,0.3079238,4.5820937,-5.4884758
14.1804114,11.4558983,7.0936657,-1.2380921,0.2892379,4.4608746,-6.1348308
14.2802735,11.5567255,7.1301700,-1.2102882,0.2125673,4.3213572,-7.9491432
14.3801355,11.6564577,7.1688827,-1.1923361,0.1249374,4.1335811,-9.8272067
14.4799976,11.7551659,7.2087271,-1.1833966,0.0428393,3.8889282,-11.3515576
14.5798596,11.8516866,7.2481953,-1.1833994,-0.0454278,3.5856078,-10.3274338
14.6797217,11.9448564,7.2857793,-1.1931633,-0.1549541,3.2854141,-9.2221836
14.7795837,12.0335120,7.3199713,-1.2146856,-0.3102994,2.9919982,-7.8796781
14.8794458,12.1164900,7.3492633,-1.2518067,-0.5584385,2.7163011,-6.6592886
14.9793078,12.2293430,7.3815263,-1.3386882,-0.8830146,2.4593233,-5.5670072
15.0791699,12.3440859,7.4016557,-1.4636811,-1.3031735,2.2218023,-4.1974744
15.1790319,12.4374658,7.4052133,-1.6110622,-1.9039519,2.0243687,-1.9101883
15.2788940,12.5112788,7.3963166,-1.7804462,-2.7148268,1.9278377,0.0000000
