# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
49.3674161,-1.5209423,-2.7653564,2.4361368,-0.2591719,5.1576531,5.1056684
49.4673502,-1.5866819,-2.8407240,2.4136037,-0.1931083,5.2556489,6.0000000
49.5672842,-1.6545473,-2.9155389,2.3971088,-0.1345317,5.3685244,-6.4658653
49.6672183,-1.7237123,-2.9897264,2.3862381,-0.0803143,5.2467832,-9.7644778
49.7671523,-1.7933511,-3.0632115,2.3807757,-0.0275567,5.0573834,-11.2947193
49.8670863,-1.8626375,-3.1359192,2.3807008,0.0266671,4.8290447,-10.1778009
49.9670204,-1.9307455,-3.2077747,2.3861963,0.0856077,4.6136163,-9.0147743
50.0669544,-1.9968491,-3.2787031,2.3976723,0.1532167,4.4140332,-8.3401283
50.1668885,-2.0716730,-3.3615696,2.4175970,0.2054173,4.2209909,-7.6026278
50.2668225,-2.1420575,-3.4431516,2.4430485,0.2698231,4.0369842,-6.7525315
50.3667566,-2.2073090,-3.5233002,2.4749364,0.3510570,3.8662160,-5.7207491
50.4666906,-2.2668629,-3.6020067,2.5144564,0.4548787,3.7154045,-4.3896738
50.5666246,-2.3201547,-3.6792625,2.5631111,0.5887213,3.5953964,-2.5420010
50.6665587,-2.3666199,-3.7550592,2.6227484,0.7615866,3.5240332,-0.7619849
50.7664927,-2.4119397,-3.8425129,2.7066443,0.9161540,3.5023583,0.0000000
50.8664268,-2.4498051,-3.9352594,2.8023645,0.9782731,3.5023583,0.0000000
50.9663608,-2.4778253,-4.0285276,2.8964023,0.9339495,3.5023583,0.5436957
51.0662948,-2.4973465,-4.1240329,2.9812419,0.7934968,3.5178376,2.1803340
51.1662289,-2.5097148,-4.2234909,3.0512516,0.6000131,3.5792402,4.3132566
51.2661629,-2.5157485,-4.3160350,3.0995545,0.4568849,3.6977078,5.7529937
51.3660970,-2.5178282,-4.4072220,3.1365031,0.3568504,3.8500497,6.0000000
51.4660310,-2.5168168,-4.5029102,-3.1167011,0.2729658,4.0027604,6.0000000
51.5659650,-2.5130667,-4.6032383,-3.0929234,0.2034756,4.1498553,6.0000000
51.6658991,-2.5069303,-4.7083446,-3.0746304,0.1463545,4.2919119,6.0000000
51.7658331,-2.4987602,-4.8183677,-3.0611681,0.0996293,4.4294149,6.0000000
51.8657672,-2.4902249,-4.9187879,-3.0531609,0.0570925,4.5627760,6.0000000
51.9657012,-2.4815610,-5.0142193,-3.0495486,0.0195123,4.6923484,6.0000000
52.0656352,-2.4724850,-5.1121130,-3.0492729,-0.0131564,4.8184377,6.0000000
52.1655693,-2.4633591,-5.2119543,-3.0521096,-0.0430333,4.9413106,6.0000000
52.2655033,-2.4545458,-5.3132286,-3.0579515,-0.0717798,5.0612013,6.0000000
52.3654374,-2.4464075,-5.4154211,-3.0667916,-0.1008142,5.1783170,6.0000000
52.4653714,-2.4393067,-5.5180172,-3.0787163,-0.1314684,5.2928419,6.0000000
52.5653055,-2.4335983,-5.6206547,-3.0938991,-0.1608221,5.4049407,6.0000000
